k,n_ann,minority,delta,rep,simulation,method,stat,pvalue,detected
3,9,0.3333333333333333,0.0,14,unidirectional,Krippendorff delta-alpha,-0.011646758125797296,0.7711442786069652,0
3,9,0.3333333333333333,0.0,14,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,14,unidirectional,chi-squared (Akhtar et al. 2019),9.784473305667756,0.28048017442839024,0
3,9,0.3333333333333333,0.0,14,unidirectional,GMM clustering (Checco/Mignemi),0.15,0.3034825870646766,0
3,9,0.3333333333333333,0.0,14,bidirectional,apunim,-0.0515011366308692,0.05903729258138421,0
3,9,0.3333333333333333,0.0,14,bidirectional,Krippendorff delta-alpha,0.0015029353356242527,0.5223880597014925,0
3,9,0.3333333333333333,0.0,14,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,14,bidirectional,chi-squared (Akhtar et al. 2019),2.5531499865602365,0.9592063615846259,0
3,9,0.3333333333333333,0.0,14,bidirectional,GMM clustering (Checco/Mignemi),-0.11764705882352941,1.0,0
3,9,0.3333333333333333,0.0,15,unidirectional,apunim,0.10087782414735921,8.516714912552073e-06,1
3,9,0.3333333333333333,0.0,15,unidirectional,Krippendorff delta-alpha,0.01371958760340845,0.263681592039801,0
3,9,0.3333333333333333,0.0,15,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,15,unidirectional,chi-squared (Akhtar et al. 2019),9.353458213507295,0.3133614325469705,0
3,9,0.3333333333333333,0.0,15,unidirectional,GMM clustering (Checco/Mignemi),-0.05,1.0,0
3,9,0.3333333333333333,0.0,15,bidirectional,apunim,-0.1959940757458216,8.54704295460149e-16,1
3,9,0.3333333333333333,0.0,15,bidirectional,Krippendorff delta-alpha,-0.036122616180630805,0.9800995024875622,0
3,9,0.3333333333333333,0.0,15,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,15,bidirectional,chi-squared (Akhtar et al. 2019),9.365903139463313,0.3123749819504096,0
3,9,0.3333333333333333,0.0,15,bidirectional,GMM clustering (Checco/Mignemi),-0.05,1.0,0
3,9,0.3333333333333333,0.0,16,unidirectional,apunim,0.058558558558558606,0.008899576050787691,1
3,9,0.3333333333333333,0.0,16,unidirectional,Krippendorff delta-alpha,-0.013504083873197088,0.7761194029850746,0
3,9,0.3333333333333333,0.0,16,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,16,unidirectional,chi-squared (Akhtar et al. 2019),5.393159337845514,0.7148461042144292,0
3,9,0.3333333333333333,0.0,16,unidirectional,GMM clustering (Checco/Mignemi),0.11764705882352941,0.31343283582089554,0
3,9,0.3333333333333333,0.0,16,bidirectional,apunim,-0.1478961622300021,1.11656861736991e-11,1
3,9,0.3333333333333333,0.0,16,bidirectional,Krippendorff delta-alpha,-0.037826983593589526,0.9402985074626866,0
3,9,0.3333333333333333,0.0,16,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,16,bidirectional,chi-squared (Akhtar et al. 2019),3.3236208800552367,0.9124392058690911,0
3,9,0.3333333333333333,0.0,16,bidirectional,GMM clustering (Checco/Mignemi),-0.05,1.0,0
3,9,0.3333333333333333,0.0,17,unidirectional,apunim,-0.056673299432530036,0.0296785486706197,1
3,9,0.3333333333333333,0.0,17,unidirectional,Krippendorff delta-alpha,-0.007849585260150376,0.6218905472636815,0
3,9,0.3333333333333333,0.0,17,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,17,unidirectional,chi-squared (Akhtar et al. 2019),5.6708630604120875,0.6840451376463383,0
3,9,0.3333333333333333,0.0,17,unidirectional,GMM clustering (Checco/Mignemi),0.11764705882352941,0.3333333333333333,0
3,9,0.3333333333333333,0.0,17,bidirectional,apunim,-0.0932642487046633,3.9127695437689714e-06,1
3,9,0.3333333333333333,0.0,17,bidirectional,Krippendorff delta-alpha,-0.04143557338707763,1.0,0
3,9,0.3333333333333333,0.0,17,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,17,bidirectional,chi-squared (Akhtar et al. 2019),13.564787250869063,0.09383839863034982,0
3,9,0.3333333333333333,0.0,17,bidirectional,GMM clustering (Checco/Mignemi),0.11764705882352941,0.3283582089552239,0
3,9,0.3333333333333333,0.0,18,unidirectional,apunim,-0.12581299391565834,2.791508047202682e-08,1
3,9,0.3333333333333333,0.0,18,unidirectional,Krippendorff delta-alpha,0.004951266909742052,0.24875621890547264,0
3,9,0.3333333333333333,0.0,18,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,18,unidirectional,chi-squared (Akhtar et al. 2019),9.317992520269334,0.31618471520011693,0
3,9,0.3333333333333333,0.0,18,unidirectional,GMM clustering (Checco/Mignemi),-0.11764705882352941,1.0,0
3,9,0.3333333333333333,0.0,18,bidirectional,apunim,-0.09019270721398413,0.00012866085274046578,1
3,9,0.3333333333333333,0.0,18,bidirectional,Krippendorff delta-alpha,-0.016084396155220466,0.8756218905472637,0
3,9,0.3333333333333333,0.0,18,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,18,bidirectional,chi-squared (Akhtar et al. 2019),8.19547361080102,0.41461251112562447,0
3,9,0.3333333333333333,0.0,18,bidirectional,GMM clustering (Checco/Mignemi),-0.11764705882352941,1.0,0
3,9,0.3333333333333333,0.0,19,unidirectional,apunim,-0.1160831434293212,7.007892351249505e-08,1
3,9,0.3333333333333333,0.0,19,unidirectional,Krippendorff delta-alpha,-0.002448238963308369,0.5422885572139303,0
