n_ann,minority,delta,rep,simulation,method,stat,pvalue,detected
80,0.5,0.0,16,unidirectional,aposteriori unimodality (2024),0.006060606060606061,0.5247524752475248,0
80,0.5,0.0,16,unidirectional,chi-squared (Akhtar et al. 2019),1.5634603042830315,0.8153439221922707,0
80,0.5,0.0,16,unidirectional,GMM clustering (Checco/Mignemi),-0.007060702875399361,0.7910447761194029,0
80,0.5,0.0,16,bidirectional,apunim,0.020520638149603556,0.11943653963747257,0
80,0.5,0.0,16,bidirectional,Krippendorff delta-alpha,0.0016850434794128955,0.06965174129353234,0
80,0.5,0.0,16,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,16,bidirectional,chi-squared (Akhtar et al. 2019),1.5044211111555352,0.8258580354396072,0
80,0.5,0.0,16,bidirectional,GMM clustering (Checco/Mignemi),-0.012114510972766387,1.0,0
80,0.5,0.0,17,unidirectional,apunim,0.041261626680661474,1.3447444346710968e-05,1
80,0.5,0.0,17,unidirectional,Krippendorff delta-alpha,0.0020977530949345957,0.04975124378109453,1
80,0.5,0.0,17,unidirectional,aposteriori unimodality (2024),0.012048192771084338,0.0297029702970297,1
80,0.5,0.0,17,unidirectional,chi-squared (Akhtar et al. 2019),1.59887463547276,0.8089943847196325,0
80,0.5,0.0,17,unidirectional,GMM clustering (Checco/Mignemi),-0.009124087591240875,0.835820895522388,0
80,0.5,0.0,17,bidirectional,apunim,0.030779758738152634,0.0003947796999788719,1
80,0.5,0.0,17,bidirectional,Krippendorff delta-alpha,0.0004972072976408559,0.3034825870646766,0
80,0.5,0.0,17,bidirectional,aposteriori unimodality (2024),0.016853932584269662,0.09900990099009901,0
80,0.5,0.0,17,bidirectional,chi-squared (Akhtar et al. 2019),5.602784772011521,0.230841265034699,0
80,0.5,0.0,17,bidirectional,GMM clustering (Checco/Mignemi),0.01025345252971899,0.2835820895522388,0
80,0.5,0.0,18,unidirectional,apunim,-0.005479378362914175,1.0,0
80,0.5,0.0,18,unidirectional,Krippendorff delta-alpha,-0.0017392635362122877,0.8805970149253731,0
80,0.5,0.0,18,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,18,unidirectional,chi-squared (Akhtar et al. 2019),0.5297366553776715,0.9705422920724984,0
80,0.5,0.0,18,unidirectional,GMM clustering (Checco/Mignemi),-0.009124087591240875,0.8557213930348259,0
80,0.5,0.0,18,bidirectional,apunim,-0.028576706930482865,0.002705409631263119,1
80,0.5,0.0,18,bidirectional,Krippendorff delta-alpha,-0.0017387447774318,0.9552238805970149,0
80,0.5,0.0,18,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,18,bidirectional,chi-squared (Akhtar et al. 2019),3.9543991658394617,0.41221242761264354,0
80,0.5,0.0,18,bidirectional,GMM clustering (Checco/Mignemi),-0.003054892601431981,0.7164179104477612,0
80,0.5,0.0,19,unidirectional,apunim,-0.007654726865599395,1.0,0
80,0.5,0.0,19,unidirectional,Krippendorff delta-alpha,0.001375140987489698,0.18407960199004975,0
80,0.5,0.0,19,unidirectional,aposteriori unimodality (2024),0.005952380952380952,0.25742574257425743,0
80,0.5,0.0,19,unidirectional,chi-squared (Akhtar et al. 2019),3.2068272736655428,0.5238289309005202,0
80,0.5,0.0,19,unidirectional,GMM clustering (Checco/Mignemi),-0.009584664536741214,1.0,0
80,0.5,0.0,19,bidirectional,apunim,0.04579122345539023,2.459650853340589e-06,1
80,0.5,0.0,19,bidirectional,Krippendorff delta-alpha,0.0005071067699045084,0.36318407960199006,0
80,0.5,0.0,19,bidirectional,aposteriori unimodality (2024),0.006024096385542169,0.504950495049505,0
80,0.5,0.0,19,bidirectional,chi-squared (Akhtar et al. 2019),11.947772170522613,0.01774390022628086,1
80,0.5,0.0,19,bidirectional,GMM clustering (Checco/Mignemi),-0.010365926814637072,1.0,0
80,0.5,0.0,20,unidirectional,apunim,0.002585195659351718,1.0,0
80,0.5,0.0,20,unidirectional,Krippendorff delta-alpha,0.00016589941555389398,0.42786069651741293,0
80,0.5,0.0,20,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,20,unidirectional,chi-squared (Akhtar et al. 2019),2.6108566474316683,0.6249011256050605,0
80,0.5,0.0,20,unidirectional,GMM clustering (Checco/Mignemi),-0.0071153276015416544,0.7263681592039801,0
